"Response","Round","Variable","Delta","Kept"
"GroupSize","1","UberDistance",-173.701724540468,0
"GroupSize","1","**AnnualDensity**",-219.610476240621,1
"GroupSize","1","HRA",3.61702903606965,0
"GroupSize","2","**UberDistance**",-110.414891555854,1
"GroupSize","2","HRA",-19.406442343844,0
"GroupSize","3","**HRA**",-2.58467880871467,1
"Degree","1","**UberDistance**",-311.216053292996,1
"Degree","1","AnnualDensity",-248.786292037746,0
"Degree","1","HRA",-132.191118388595,0
"Degree","2","**AnnualDensity**",-121.349441282357,1
"Degree","2","HRA",-82.6131781719014,0
"Degree","3","**HRA**",-236.582816445802,1
"Strength","1","UberDistance",-111.122462790143,0
"Strength","1","**AnnualDensity**",-308.328190112082,1
"Strength","1","HRA",1.53372500465503,0
"Strength","2","**UberDistance**",-40.4803705369027,1
"Strength","2","HRA",-11.0947575396094,0
"Strength","3","**HRA**",-2.67794521458609,1
